user,similar_user
0,7
0,12
0,13
0,14
0,23
0,29
0,32
0,34
0,46
0,49
0,55
0,56
0,79
0,80
0,82
0,94
1,0
1,12
1,29
1,33
1,37
1,40
1,45
1,47
1,65
1,82
1,85
1,98
1,106
2,7
2,9
2,31
2,49
2,119
3,4
3,6
3,9
3,10
3,11
3,14
3,15
3,16
3,17
3,18
3,46
3,48
3,49
3,55
3,56
3,96
4,5
4,10
4,24
4,31
4,33
4,42
4,49
4,56
4,66
4,82
4,97
4,98
4,106
5,20
5,33
5,36
5,41
5,46
5,52
5,57
5,82
5,98
5,106
6,2
6,12
6,13
6,24
6,30
6,51
6,56
7,5
7,8
7,14
7,24
7,31
7,33
7,40
7,48
7,49
7,51
7,56
7,57
7,65
7,66
7,96
7,99
8,2
8,12
8,13
8,20
8,33
8,34
8,36
8,41
8,66
8,82
8,96
8,97
8,101
9,12
9,13
9,23
9,29
9,33
9,52
9,56
9,57
10,2
10,12
10,14
10,20
10,30
10,32
10,33
10,36
10,39
10,46
10,51
10,52
10,55
10,56
10,97
10,98
10,119
11,23
11,29
11,33
11,52
11,66
11,83
11,85
11,94
11,98
12,33
12,49
12,52
12,57
12,58
12,80
12,81
12,118
13,7
13,15
13,16
13,20
13,21
13,26
13,30
13,34
13,35
13,39
13,46
13,57
13,58
13,66
13,67
13,80
13,83
13,84
13,85
13,92
13,98
13,118
14,4
14,15
14,16
14,20
14,21
14,24
14,35
14,37
14,44
14,51
14,53
14,67
14,96
14,106
14,112
14,114
14,122
15,20
15,25
15,26
15,29
15,44
15,46
15,66
15,67
15,87
15,88
15,89
15,90
16,20
16,25
16,26
16,29
16,44
16,46
16,66
16,67
16,79
16,87
16,88
16,89
16,90
17,14
17,20
17,21
17,35
17,39
17,46
17,48
17,50
17,55
17,66
17,67
17,68
17,79
17,81
17,83
17,85
17,88
17,94
18,14
18,21
18,22
18,23
18,26
18,46
18,59
18,60
18,66
18,70
18,79
18,80
18,81
18,83
18,84
18,85
18,88
18,93
18,94
18,100
19,46
19,79
19,81
19,83
19,84
19,85
19,88
19,116
20,1
20,7
20,19
20,29
20,30
20,37
20,44
20,48
20,55
20,66
20,79
20,97
21,20
21,26
21,30
21,34
21,35
21,45
21,46
21,48
21,55
21,92
21,94
21,95
22,14
22,34
22,35
22,36
22,46
22,54
22,56
22,78
22,79
22,92
22,94
22,107
23,17
23,22
23,80
24,9
24,12
24,33
24,98
24,106
25,30
25,34
25,35
25,46
25,79
25,93
25,95
26,9
26,60
26,79
26,86
26,93
27,1
27,2
27,11
27,44
27,48
27,52
27,54
27,88
27,89
27,90
27,93
27,98
27,101
29,13
29,21
29,22
29,26
29,33
29,80
29,85
29,89
30,8
30,9
30,11
30,17
30,18
30,19
30,29
30,38
30,41
30,42
30,50
30,51
30,52
30,53
30,54
30,71
30,72
30,73
30,77
30,88
30,120
31,9
31,11
31,12
31,33
31,51
31,82
31,98
31,106
32,3
32,5
32,7
32,14
32,15
32,16
32,17
32,18
32,19
32,24
32,29
32,31
32,35
32,36
32,39
32,41
32,42
32,46
32,58
32,63
32,99
32,121
33,18
33,34
33,37
33,52
33,63
33,99
34,3
34,15
34,16
34,20
34,29
34,39
34,41
34,42
34,45
34,52
34,53
34,55
34,121
35,20
35,30
35,39
36,7
36,17
36,18
36,19
36,30
36,33
36,45
36,46
36,47
36,55
36,68
36,78
36,79
36,89
36,96
37,2
37,10
37,42
37,49
37,98
38,1
38,4
38,5
38,7
38,10
38,11
38,14
38,17
38,18
38,19
38,20
38,22
38,26
38,32
38,33
38,34
38,36
38,43
38,46
38,51
38,53
38,56
38,68
38,70
38,81
38,88
38,90
38,96
38,97
38,98
39,30
39,33
39,37
39,44
39,45
39,52
39,55
39,79
40,4
40,5
40,8
40,9
40,14
40,32
40,34
40,37
40,45
40,55
40,58
40,96
40,97
41,25
41,29
41,42
41,49
41,50
41,53
41,54
41,82
42,53
42,68
42,71
42,72
42,73
42,77
42,81
42,120
43,54
43,78
44,0
44,2
44,6
44,13
44,35
44,40
44,41
44,42
44,50
44,65
44,67
44,87
44,89
44,94
44,119
45,4
45,5
45,10
45,14
45,22
45,29
45,42
45,49
45,52
45,68
45,82
45,98
45,103
46,1
46,6
46,9
46,30
46,33
46,52
46,58
46,59
46,98
47,33
47,37
47,46
47,51
47,55
48,10
48,12
48,13
48,15
48,16
48,25
48,36
48,42
48,47
48,50
48,51
48,52
48,75
48,76
49,9
49,18
49,21
49,35
49,36
49,46
49,53
49,54
49,56
49,61
49,62
49,66
49,78
49,98
49,106
50,9
50,18
50,26
50,29
50,42
50,46
50,49
50,60
51,20
51,36
51,43
51,54
51,55
51,56
51,60
51,78
51,96
52,8
52,32
52,41
52,49
52,50
52,51
52,60
52,82
53,18
53,22
53,36
53,43
53,46
53,54
53,78
53,79
53,85
53,105
54,1
54,33
54,36
54,48
54,56
54,58
54,78
55,4
55,7
55,22
55,29
55,42
55,57
55,68
55,98
55,114
55,119
55,122
56,1
56,14
56,18
56,20
56,21
56,30
