user,similar_user
0,7
0,32
0,34
0,37
0,39
0,40
0,41
0,43
0,49
0,53
0,57
0,66
0,68
1,0
1,7
1,13
1,27
1,29
1,34
1,36
1,60
1,65
1,83
1,96
1,97
1,100
2,6
2,11
2,26
2,38
2,41
2,43
2,46
2,56
2,59
2,72
2,92
2,95
3,2
3,7
3,23
3,25
3,27
3,28
3,30
3,31
3,45
3,58
3,59
3,61
3,68
3,73
3,96
3,100
4,37
4,38
4,40
4,44
4,49
4,56
4,65
4,71
4,72
4,83
4,92
4,95
4,99
5,3
5,13
5,31
5,33
5,35
5,100
6,4
6,25
6,27
6,30
6,31
6,35
6,38
6,41
6,42
6,48
6,64
6,65
6,67
6,68
6,69
6,74
6,85
6,86
6,90
7,4
7,8
7,10
7,25
7,32
7,33
7,34
7,45
7,49
7,57
7,67
7,75
7,92
8,24
8,32
8,68
9,7
9,25
9,46
9,48
9,57
9,61
9,66
9,83
9,91
9,97
10,0
10,5
10,12
10,23
10,25
10,31
10,32
10,52
10,61
10,69
10,85
10,88
10,91
10,93
10,96
10,97
11,0
11,31
11,34
11,47
11,49
11,60
11,62
11,64
11,66
11,70
11,74
11,90
11,91
12,4
12,46
12,65
12,66
12,68
12,75
12,100
13,7
13,25
13,40
13,41
13,42
13,49
13,50
13,52
13,54
13,55
13,63
13,66
13,70
13,80
13,81
13,87
13,91
20,0
20,23
20,40
20,45
20,56
20,66
20,76
20,83
20,97
20,98
20,99
23,24
23,36
23,44
23,45
23,50
23,57
23,64
24,0
24,11
24,38
24,41
24,43
24,45
24,57
24,58
24,67
24,68
24,75
24,92
24,94
24,96
24,100
25,4
25,11
25,12
25,43
25,65
25,67
25,71
25,77
25,100
26,12
26,25
26,29
26,30
26,32
26,42
26,43
26,47
26,50
26,61
26,63
26,64
26,72
26,76
26,83
26,86
28,0
28,23
28,29
28,38
28,42
28,43
28,44
28,47
28,48
28,60
28,61
28,62
28,63
28,64
28,67
28,69
28,85
28,97
28,99
29,9
29,24
29,25
29,37
29,38
29,39
29,40
29,44
29,45
29,51
29,59
29,61
29,62
29,67
29,68
30,8
30,32
30,33
30,41
30,66
31,9
31,26
31,29
31,32
31,35
31,36
31,37
31,46
31,51
31,62
31,63
31,68
31,70
31,91
31,92
31,100
32,11
32,56
32,65
32,66
32,71
32,85
33,23
33,25
33,27
33,31
33,43
33,54
33,61
33,63
33,81
33,90
33,97
34,2
34,23
34,25
34,31
34,32
34,45
34,61
34,63
34,64
34,71
34,74
34,75
34,83
34,86
35,12
35,36
35,38
35,39
35,45
35,51
35,54
35,59
35,64
35,66
35,67
35,69
35,74
35,80
35,81
35,90
35,93
36,9
36,11
36,24
36,28
36,42
36,43
36,52
36,53
36,54
36,55
36,56
36,58
36,60
36,63
36,68
36,80
36,81
36,82
36,85
36,86
36,93
37,6
37,12
37,24
37,45
37,48
37,52
37,75
38,3
38,12
38,26
38,40
38,47
38,52
38,61
38,63
38,75
38,77
38,81
38,84
38,90
38,95
39,9
39,41
39,45
39,47
39,52
39,54
39,55
39,81
40,32
40,37
40,39
40,44
40,46
40,100
41,1
41,3
41,31
41,32
41,42
41,44
41,52
41,56
41,67
41,74
41,85
41,86
41,90
41,91
42,1
42,4
42,23
42,24
42,46
42,50
42,54
42,58
42,60
42,63
42,66
42,67
42,86
43,1
43,4
43,11
43,12
43,13
43,27
43,32
43,34
43,53
43,69
43,72
43,73
44,9
44,24
44,25
44,27
44,38
44,39
44,54
44,66
44,67
44,81
44,90
44,93
44,100
45,9
45,11
45,25
45,28
45,41
45,50
45,56
45,57
45,61
45,65
45,67
45,95
45,96
45,100
46,7
46,11
46,24
46,37
46,38
46,41
46,47
46,49
46,50
46,53
46,55
46,65
46,74
46,75
46,81
46,82
46,85
47,9
47,13
47,24
47,29
47,41
47,44
47,51
47,64
48,2
48,7
48,24
48,27
48,34
48,45
48,49
48,52
48,57
48,62
48,63
48,68
48,69
48,75
48,92
48,99
49,10
49,25
49,26
49,31
49,32
49,34
49,41
49,44
49,45
49,57
49,66
49,67
49,69
49,70
49,75
49,91
49,94
49,100
50,1
50,3
50,6
50,12
50,25
50,28
50,32
50,62
50,67
50,69
50,72
50,73
50,74
50,86
50,100
51,1
51,7
51,24
51,34
51,37
51,38
51,39
51,40
51,43
51,63
51,66
51,75
51,85
51,87
51,93
51,100
52,1
52,3
52,9
52,12
52,28
52,33
52,34
52,42
52,50
52,51
52,56
52,63
52,67
53,2
53,7
53,11
53,12
53,32
53,61
53,66
53,73
53,83
53,85
53,94
54,3
54,6
54,10
54,20
54,28
54,34
54,50
54,51
54,52
54,53
54,66
54,68
54,74
55,3
55,4
55,10
55,11
55,23
55,24
55,28
55,34
55,41
55,50
55,52
55,53
55,57
55,85
55,93
55,99
56,13
56,23
56,43
56,50
56,53
56,100
57,39
57,43
57,67
57,71
57,72
57,73
57,77
57,84
58,0
58,12
58,23
58,29
58,34
58,38
58,43
58,44
58,45
58,47
58,59
58,61
58,62
58,64
58,69
58,83
58,96
59,1
59,11
59,12
59,24
59,32
59,38
59,41
59,42
59,44
59,45
59,48
59,49
59,54
59,55
59,66
59,67
59,81
59,85
59,90
59,91
60,0
60,6
60,10
60,12
60,13
60,20
60,29
60,32
60,38
60,40
60,44
60,45
60,48
60,49
60,51
60,68
60,69
60,84
60,100
61,2
61,13
61,31
61,46
61,47
61,56
61,57
61,95
62,1
62,26
62,37
62,45
62,52
62,54
62,55
62,56
62,60
62,61
62,64
62,66
62,74
62,85
62,90
62,93
62,94
63,23
63,32
63,44
63,46
63,49
63,50
63,56
63,57
63,58
63,59
63,61
63,68
63,69
63,71
63,74
63,94
63,96
64,3
64,7
64,9
64,12
64,27
64,29
64,32
64,38
64,39
64,41
64,43
64,48
64,53
64,66
64,69
64,77
64,84
64,93
65,11
65,13
65,20
65,26
65,36
65,37
65,44
65,47
65,59
65,64
65,66
66,31
66,43
66,67
66,69
66,77
66,91
66,92
66,93
66,100
67,10
67,11
67,12
67,13
67,32
67,39
67,43
67,46
67,51
67,53
67,54
67,56
67,58
67,63
67,68
67,77
67,85
67,100
68,11
68,23
68,25
68,43
68,50
68,56
68,64
68,70
68,83
68,97
69,27
69,34
69,61
69,62
69,80
69,81
69,83
69,100
70,0
70,1
70,3
70,12
70,29
70,35
70,36
70,38
70,40
70,51
70,64
70,74
70,76
70,90
70,93
71,1
71,12
71,13
71,23
71,24
71,38
71,42
71,44
71,45
71,48
71,49
71,58
71,66
71,68
71,69
71,94
71,96
71,100
72,33
72,38
72,51
72,59
72,69
73,33
73,44
73,46
73,51
73,69
73,72
73,84
74,12
74,23
74,24
74,28
74,36
74,38
74,43
74,49
74,59
74,66
74,69
74,71
74,76
74,77
74,85
74,93
74,94
74,96
75,0
75,5
75,10
75,13
75,25
75,26
75,43
75,44
75,45
75,50
75,57
75,100
76,1
76,6
76,24
76,28
76,32
76,39
76,40
76,41
76,43
76,48
76,50
76,53
76,59
76,60
76,64
76,69
76,71
76,77
77,3
77,20
77,26
77,32
77,33
77,43
77,45
77,50
77,53
77,72
77,73
78,53
79,59
79,62
80,33
80,47
80,62
80,79
81,79
81,80
82,9
82,33
82,41
82,47
82,55
82,66
83,42
83,57
83,62
83,74
85,20
85,63
85,71
86,53
86,55
86,67
87,90
88,74
90,1
90,3
90,4
90,12
90,26
90,36
90,43
90,60
90,66
90,93
91,2
91,20
91,28
91,34
91,36
91,38
91,46
91,47
91,57
91,61
91,62
91,83
91,92
92,1
92,6
92,12
92,25
92,29
92,34
92,35
92,38
92,45
92,50
92,62
92,67
92,75
92,90
92,93
93,26
93,38
93,76
94,23
94,26
94,28
94,33
94,45
94,58
94,61
94,68
94,69
94,96
94,100
95,10
95,13
95,46
95,49
95,56
95,58
95,59
95,68
95,70
95,91
96,0
96,4
96,9
96,20
96,23
96,26
96,28
96,33
96,34
96,50
96,53
96,61
96,69
96,83
96,100
97,55
