user,similar_user
0,3
0,4
0,9
0,13
0,29
0,33
0,35
0,36
0,44
0,45
0,46
0,51
0,59
0,69
0,100
1,2
1,3
1,4
1,6
1,9
1,10
1,11
1,12
1,20
1,23
1,24
1,25
1,26
1,28
1,32
1,33
1,37
1,38
1,44
1,45
1,46
1,48
1,49
1,53
1,56
1,57
1,58
1,63
1,67
1,68
1,69
1,74
1,75
1,94
2,4
2,9
2,13
2,20
2,33
2,45
2,58
2,68
2,69
2,100
3,4
3,6
3,9
3,10
3,11
3,12
3,13
3,20
3,24
3,26
3,29
3,32
3,33
3,34
3,35
3,36
3,37
3,42
3,43
3,44
3,46
3,48
3,49
3,51
3,53
3,56
3,57
3,60
3,62
3,63
3,66
3,67
3,69
3,71
3,72
3,74
3,85
3,94
4,5
4,9
4,10
4,11
4,13
4,20
4,24
4,26
4,28
4,29
4,31
4,32
4,33
4,34
4,35
4,36
4,45
4,46
4,50
4,51
4,53
4,57
4,58
4,59
4,60
4,61
4,62
4,63
4,66
4,67
4,68
4,69
4,70
4,74
4,75
4,87
4,91
4,97
4,100
5,44
6,7
6,9
6,10
6,11
6,12
6,13
6,20
6,24
6,26
6,28
6,29
6,32
6,33
6,34
6,44
6,47
6,51
6,52
6,53
6,56
6,57
6,58
6,62
6,63
6,70
6,71
7,20
7,24
7,26
7,29
7,30
7,68
9,10
9,13
9,20
9,23
9,24
9,26
9,28
9,32
9,33
9,34
9,41
9,42
9,49
9,50
9,51
9,53
9,54
9,55
9,56
9,58
9,59
9,62
9,63
9,67
9,68
9,69
9,71
9,74
9,85
9,86
9,94
9,100
10,11
10,13
10,20
10,24
10,26
10,28
10,29
10,33
10,34
10,35
10,36
10,37
10,38
10,41
10,43
10,44
10,45
10,46
10,47
10,50
10,51
10,53
10,56
10,57
10,58
10,59
10,62
10,63
10,64
10,66
10,68
10,70
10,71
10,74
10,90
10,92
10,100
11,12
11,13
11,20
11,26
11,28
11,29
11,33
11,41
11,57
11,58
11,92
11,100
12,13
12,20
12,24
12,32
12,33
12,44
12,45
12,48
12,51
12,57
12,63
12,69
13,20
13,23
13,24
13,26
13,28
13,29
13,31
13,32
13,33
13,34
13,35
13,36
13,37
13,38
13,39
13,44
13,45
13,46
13,48
13,51
13,53
13,57
13,58
13,59
13,62
13,64
13,68
13,69
13,72
13,92
13,100
20,24
20,25
20,26
20,28
20,29
20,31
20,32
20,33
20,34
20,35
20,36
20,37
20,38
20,41
20,42
20,43
20,44
20,46
20,47
20,48
20,49
20,50
20,51
20,53
20,55
20,57
20,58
20,59
20,61
20,62
20,63
20,64
20,67
20,68
20,69
20,70
20,72
20,74
20,75
20,90
20,92
20,93
20,95
20,100
23,26
23,62
23,65
23,69
24,25
24,26
24,28
24,32
24,33
24,34
24,49
24,50
24,52
24,53
24,54
24,56
