user,similar_user
0,8
0,10
0,25
0,67
0,75
0,92
0,20
0,24
0,26
0,30
0,11
0,56
0,65
0,71
0,85
0,38
0,42
0,47
0,48
0,52
0,62
0,2
0,23
0,25
0,31
0,61
0,63
0,64
0,71
0,74
0,75
0,83
0,86
0,38
0,42
0,50
0,56
0,62
0,67
0,85
0,6
0,12
0,24
0,48
0,52
0,75
0,38
0,42
0,47
0,52
0,54
0,55
0,81
0,62
0,1
0,31
0,42
0,52
0,56
0,67
0,74
0,85
0,86
0,90
0,91
0,50
0,54
0,58
0,62
0,63
0,70
0,92
0,1
0,11
0,12
0,27
0,72
0,73
0,50
0,60
0,71
0,10
0,25
0,26
0,31
0,67
0,70
0,75
0,91
0,94
0,56
0,58
0,92
0,2
0,11
0,12
0,61
0,73
0,83
0,85
0,94
0,58
0,60
0,62
0,63
0,70
0,71
0,72
0,74
0,91
0,67
0,71
0,72
0,73
0,77
0,84
0,58
0,60
0,62
0,64
0,70
0,74
0,76
0,90
0,92
0,93
0,31
0,67
0,77
0,91
0,92
0,93
0,70
0,11
0,23
0,25
0,50
0,56
0,64
0,70
0,83
0,97
0,74
0,75
0,91
0,92
0,96
0,2
0,23
0,25
0,27
0,28
0,30
0,31
0,58
0,61
0,73
0,96
0,6
0,10
0,11
0,12
0,20
0,24
0,26
0,42
0,48
0,56
0,60
0,62
0,63
0,67
0,71
0,72
0,74
0,85
0,94
0,38
0,56
0,65
0,71
0,72
0,83
0,92
0,95
0,99
0,5
0,10
0,11
0,20
0,24
0,26
0,28
0,31
0,50
0,58
0,60
0,61
0,62
0,63
0,67
0,70
0,74
0,75
0,87
0,91
0,97
0,25
0,48
0,61
0,83
0,91
0,97
0,10
0,20
0,23
0,24
0,26
0,28
0,42
0,50
0,54
0,55
0,56
0,58
0,62
0,63
0,67
0,71
0,74
0,85
0,86
0,94
0,25
0,42
0,50
0,52
0,54
0,55
0,63
0,70
0,80
0,81
0,87
0,91
0,20
0,23
0,24
0,26
0,28
0,31
0,38
0,48
0,58
0,62
0,64
0,72
0,92
0,24
0,25
0,38
0,61
0,62
0,67
0,30
0,23
0,25
0,27
0,31
0,54
0,61
0,63
0,81
0,90
0,97
0,38
0,47
0,48
0,50
0,55
0,58
0,60
0,62
0,64
0,65
0,67
0,70
0,71
0,74
0,75
0,76
0,91
0,92
0,93
0,95
0,98
0,12
0,38
0,54
0,64
0,67
0,74
0,80
0,81
0,90
0,93
0,62
0,11
0,24
0,28
0,42
0,52
0,54
0,55
0,56
0,58
0,60
0,63
0,80
0,81
0,82
0,85
0,86
0,93
0,38
0,47
0,50
0,62
0,64
0,67
0,76
0,24
0,25
0,27
0,38
0,54
0,67
0,81
0,90
0,93
0,48
0,50
0,62
0,64
0,70
0,74
0,92
0,11
0,25
0,28
0,50
0,56
0,61
0,65
0,67
0,95
0,96
0,47
0,63
0,11
0,24
0,38
0,47
0,50
0,55
0,65
0,74
0,75
0,81
0,82
0,85
0,48
0,56
0,58
0,62
0,70
0,92
0,1
0,24
0,38
0,63
0,75
0,85
0,87
0,93
0,55
0,56
0,62
0,64
0,71
0,74
0,76
0,90
0,92
0,1
0,11
0,12
0,24
0,38
0,42
0,48
0,54
0,55
0,67
0,81
0,85
0,90
0,91
0,62
0,64
0,70
0,71
0,75
0,92
0,27
0,61
0,62
0,80
0,81
0,83
0,6
0,47
0,64
0,83
0,90
0,93
0,95
0,97
7,37
7,38
7,40
7,44
7,56
7,65
7,71
7,72
7,83
7,95
7,99
7,5
7,9
7,11
7,13
7,28
7,31
7,35
7,36
7,46
7,50
7,51
7,53
7,58
7,59
7,60
7,61
7,62
7,63
7,66
7,69
7,70
7,74
7,87
7,91
7,97
7,100
7,0
7,5
7,12
7,23
7,31
7,52
7,61
7,69
7,85
7,88
7,91
7,93
7,96
7,97
7,11
7,13
7,28
7,35
7,36
7,37
7,38
7,41
7,43
7,44
7,46
7,47
7,50
7,51
7,53
7,56
7,58
7,59
7,62
7,63
7,64
7,66
7,70
7,71
7,74
7,90
7,100
7,11
7,12
7,43
7,65
7,71
7,77
7,100
7,11
7,56
7,65
7,66
7,71
7,85
7,36
7,37
7,38
7,39
7,42
7,44
7,46
7,47
7,48
7,51
7,52
7,62
7,69
7,100
7,23
7,27
7,31
7,43
7,54
7,61
7,63
7,81
7,90
7,97
7,35
7,36
7,37
7,38
7,39
7,41
7,44
7,46
7,47
7,48
7,50
7,51
7,53
7,55
7,58
7,59
7,60
7,62
7,64
7,65
7,66
7,69
7,70
7,71
7,74
7,76
7,91
7,93
7,95
7,98
7,100
7,2
7,23
7,31
7,61
7,63
7,64
7,71
7,74
7,83
7,86
7,36
7,38
7,41
7,42
7,44
7,46
7,50
7,53
7,56
7,59
7,62
7,66
7,85
7,100
7,9
7,11
7,28
7,41
7,50
7,56
7,61
7,65
7,95
7,96
7,100
7,46
7,47
7,51
7,63
7,69
7,31
7,41
7,44
7,66
7,69
7,70
7,91
7,94
7,100
7,53
7,56
7,58
7,39
7,43
7,71
7,72
7,73
7,77
7,84
7,58
7,59
7,60
7,62
7,64
7,66
7,69
7,70
7,74
7,76
7,90
7,93
7,100
7,11
7,12
7,13
7,39
7,43
7,46
7,51
7,53
7,54
7,56
7,58
7,63
7,77
7,85
7,100
7,0
7,5
7,13
7,43
7,44
7,50
7,100
7,1
7,6
7,12
7,35
7,38
7,50
7,62
7,90
7,93
7,100
7,0
7,23
7,40
7,56
7,66
7,76
7,83
7,97
7,98
7,99
7,28
7,31
7,35
7,36
7,37
7,38
7,41
7,42
7,43
7,44
7,46
7,47
7,48
7,50
7,51
7,53
7,55
7,58
7,59
7,61
7,62
7,63
7,64
7,69
7,70
7,72
7,74
7,90
7,93
7,95
7,100
7,0
7,11
7,38
7,41
7,43
7,58
7,94
7,96
7,100
7,28
7,50
7,52
7,53
7,54
7,56
7,62
7,63
7,69
7,85
7,86
7,12
7,42
7,43
7,47
7,50
7,61
7,63
7,64
7,72
7,76
7,83
7,86
7,27
7,28
7,35
7,36
7,41
7,44
7,46
7,53
7,54
7,55
7,56
7,58
7,59
7,66
7,69
7,70
7,74
7,85
7,91
7,100
7,9
7,37
7,38
7,39
7,40
7,44
7,51
7,59
7,61
7,62
7,35
7,36
7,100
7,41
7,66
7,35
7,11
7,23
7,43
7,50
7,56
7,64
7,70
7,83
7,97
7,69
7,74
7,91
7,96
7,100
32,0
32,31
32,34
32,49
32,60
32,64
32,70
32,74
32,90
32,91
32,12
32,13
32,20
32,26
32,28
32,29
32,41
32,58
32,92
32,13
32,23
32,43
32,50
32,53
32,58
32,74
32,94
32,96
32,13
32,20
32,26
32,59
32,64
32,67
32,31
32,43
32,67
32,77
32,91
32,92
32,93
32,70
32,1
32,12
32,13
32,23
32,24
32,49
32,58
32,94
32,96
32,72
32,73
32,77
32,83
32,84
32,20
32,63
32,94
32,23
32,25
32,27
32,31
32,43
32,54
32,61
32,63
32,81
32,90
32,97
32,34
32,35
32,41
32,49
32,50
32,53
32,55
32,58
32,59
32,60
32,64
32,67
32,70
32,74
32,75
32,76
32,91
32,92
32,93
32,95
32,98
32,9
32,24
32,28
32,43
32,53
32,54
32,55
32,58
32,60
32,63
32,80
32,81
32,82
32,86
32,93
32,40
32,41
32,50
32,59
32,64
32,67
32,76
32,6
32,12
32,24
32,75
32,41
32,59
32,3
32,12
32,26
32,40
32,61
32,63
32,75
32,77
32,81
32,84
32,90
32,95
32,41
32,43
32,53
32,76
32,9
32,41
32,54
32,55
32,81
32,59
32,1
32,4
32,23
32,24
32,50
32,54
32,58
32,60
32,63
32,67
32,86
32,53
32,55
32,95
32,9
32,24
32,25
32,27
32,54
32,67
32,81
32,90
32,93
32,50
32,64
32,70
32,74
32,92
32,9
32,25
32,28
32,41
32,50
32,61
32,67
32,95
32,96
32,63
32,7
32,24
32,41
32,49
32,50
32,53
32,55
32,74
32,75
32,81
32,82
32,58
32,59
32,70
32,92
32,9
32,13
32,24
32,29
32,41
32,64
32,59
32,70
32,92
32,2
32,7
32,24
32,27
32,34
32,49
32,63
32,75
32,92
32,99
32,50
32,53
32,55
32,74
32,78
32,1
32,7
32,24
32,34
32,40
32,43
32,63
32,75
32,87
32,93
32,53
32,55
32,59
32,64
32,74
32,76
32,90
32,92
32,1
32,3
32,9
32,12
32,28
32,34
32,50
32,63
32,67
32,53
32,43
32,67
32,72
32,73
32,77
32,84
32,58
32,59
32,60
32,64
32,70
32,74
32,76
32,90
32,92
32,93
32,1
32,26
32,54
32,55
32,60
32,61
32,64
32,74
32,90
32,93
32,94
32,63
32,70
32,23
32,25
32,43
32,50
32,64
32,70
32,83
32,97
32,74
32,75
32,91
32,92
32,96
32,27
32,34
32,61
32,80
32,81
32,83
32,6
32,7
32,35
32,64
32,83
32,90
32,93
32,95
32,97
34,6
34,11
34,26
34,43
34,72
34,92
34,95
34,4
34,9
34,13
34,20
34,33
34,58
34,69
34,24
34,26
34,65
34,69
34,4
34,11
34,12
34,43
34,65
34,77
34,9
34,26
34,29
34,35
34,37
34,51
34,70
34,91
34,92
34,58
34,11
34,65
34,33
34,37
34,39
34,47
34,48
34,51
34,52
34,69
34,9
34,11
34,28
34,65
34,95
34,96
34,47
34,51
34,69
34,13
34,47
34,95
34,49
34,58
34,69
34,94
34,96
34,3
34,7
34,9
34,12
34,27
34,29
34,39
34,43
34,48
34,69
34,77
34,84
34,93
34,73
34,90
34,92
34,1
34,12
34,13
34,24
34,48
34,49
34,58
34,69
34,94
34,96
34,72
34,73
34,77
34,84
34,12
34,24
34,28
34,43
34,49
34,69
34,76
34,77
34,93
34,94
34,96
34,90
34,92
34,0
34,5
34,10
34,13
34,26
34,43
34,55
34,9
34,11
34,24
34,28
34,43
34,52
34,54
34,55
34,58
34,60
34,80
34,81
34,82
34,93
34,37
34,39
34,40
34,47
34,51
34,69
34,76
34,3
34,12
34,26
34,40
34,47
34,52
34,77
34,81
34,84
34,90
34,95
34,39
34,43
34,76
34,1
34,3
34,52
34,90
34,91
34,51
34,54
34,58
34,70
34,92
34,1
34,4
34,24
34,54
34,58
34,60
34,55
34,95
34,9
34,24
34,27
34,39
34,54
34,81
34,90
34,93
34,48
34,51
34,69
34,70
34,92
34,7
34,11
34,24
34,37
34,47
34,49
34,55
34,65
34,81
34,82
34,48
34,51
34,58
34,69
34,70
34,92
34,1
34,3
34,6
34,12
34,28
34,69
34,72
34,73
34,51
34,60
34,7
34,11
34,12
34,73
34,94
34,58
34,60
34,69
34,70
34,72
34,91
34,13
34,43
34,58
34,69
34,94
34,96
34,39
34,43
34,72
34,73
34,77
34,84
34,58
34,60
34,69
34,70
34,76
34,90
34,92
34,93
34,1
34,11
34,12
34,24
34,48
34,49
34,54
34,55
34,81
34,90
34,91
34,69
34,70
34,92
34,1
34,26
34,37
34,52
34,54
34,55
34,60
34,90
34,93
34,94
34,65
34,70
34,43
34,69
34,77
34,91
34,92
34,93
34,70
34,10
34,11
34,12
34,13
34,39
34,43
34,51
34,54
34,58
34,77
34,11
34,43
34,70
34,97
34,69
34,91
34,92
34,96
34,20
34,94
34,6
34,7
34,35
34,47
34,90
34,93
34,95
34,97
37,4
37,25
37,27
37,30
37,31
37,35
37,64
37,65
37,67
37,68
37,69
37,74
37,85
37,86
37,90
37,7
37,9
37,10
37,11
37,13
37,20
37,26
37,28
37,29
37,32
37,33
37,34
37,47
37,51
37,53
37,56
37,57
37,58
37,62
37,63
37,70
37,71
37,4
37,46
37,65
37,68
37,100
37,13
37,20
37,32
37,33
37,51
37,57
37,63
37,69
37,0
37,11
37,43
37,57
