user,similar_user
0,7
0,3
0,4
0,9
0,13
0,29
0,33
0,35
0,44
0,45
0,46
0,51
0,59
0,69
0,100
0,36
0,49
0,32
0,34
0,37
0,39
0,68
0,66
0,57
0,53
0,40
0,41
0,43
1,46
1,48
1,49
1,53
1,11
1,45
1,57
1,58
1,63
1,67
1,68
1,69
1,74
1,75
1,56
1,44
1,26
1,37
1,33
1,32
1,28
1,12
1,94
1,23
1,20
1,2
1,3
1,4
1,6
1,9
1,10
1,38
1,24
1,25
1,0
1,100
1,7
1,96
1,83
1,65
1,97
1,36
1,34
1,29
1,27
1,13
1,60
2,20
2,13
2,9
2,4
2,58
2,68
2,69
2,100
2,95
2,92
2,72
2,6
2,11
2,26
2,38
2,41
2,43
2,46
2,56
2,33
2,45
2,59
3,10
3,4
3,11
3,12
3,13
3,20
3,24
3,26
3,29
3,9
3,6
3,31
3,96
3,2
3,7
3,23
3,25
3,27
3,28
3,100
3,30
3,45
3,58
3,59
3,61
3,68
3,73
3,33
3,34
3,32
3,36
3,35
3,85
3,74
3,72
3,71
3,69
3,67
3,66
3,63
3,62
3,60
3,94
3,56
3,53
3,51
3,49
3,48
3,46
3,44
3,43
3,42
3,37
3,57
4,66
4,63
4,62
4,53
4,60
4,59
4,58
4,61
4,67
4,75
4,69
4,70
4,74
4,87
4,91
4,97
4,100
4,65
4,71
4,51
4,68
4,50
4,24
4,45
4,5
4,56
4,49
4,44
4,40
4,38
4,37
4,9
4,10
4,11
4,13
4,20
4,26
4,28
4,29
4,31
4,32
4,33
4,34
4,35
4,36
4,46
4,72
4,57
4,92
4,83
4,99
4,95
5,100
5,33
5,31
5,13
5,3
5,35
5,44
6,33
6,86
6,90
6,56
6,53
6,24
6,71
6,70
6,63
6,62
6,58
6,29
6,32
6,52
6,85
6,51
6,47
6,44
6,34
6,57
6,74
6,26
6,68
6,38
6,69
6,35
6,42
6,31
6,30
6,27
6,25
6,4
6,7
6,9
6,28
6,10
6,11
6,12
6,13
6,20
6,48
6,64
6,65
6,67
6,41
7,20
7,30
7,26
7,8
7,10
7,25
7,32
7,33
7,34
7,24
7,45
7,57
7,67
7,75
7,92
7,68
7,29
7,49
7,4
8,32
8,68
8,24
9,91
9,53
9,51
9,50
9,49
9,42
9,41
9,34
9,33
9,32
9,28
9,26
9,24
9,23
9,20
9,10
9,54
9,7
9,25
9,46
9,48
9,57
9,61
9,66
9,83
9,97
9,56
9,55
9,59
9,58
9,100
9,94
9,86
9,85
9,74
9,13
9,69
9,68
9,67
9,63
9,62
9,71
10,96
10,93
10,91
10,88
10,85
10,69
10,61
10,52
10,31
10,25
10,5
10,97
10,0
10,64
10,66
10,68
10,70
10,71
10,74
10,90
10,92
10,100
10,23
10,63
10,12
10,59
10,50
10,47
10,46
10,45
10,44
10,43
10,41
10,38
10,37
10,36
10,35
10,34
10,33
10,29
10,28
10,26
10,24
10,20
10,13
10,11
10,62
10,51
10,53
10,32
10,57
10,58
10,56
11,100
11,92
11,58
11,57
11,41
11,33
11,29
11,26
11,20
11,13
11,12
11,28
11,0
11,91
11,31
11,34
11,47
11,90
11,74
11,70
11,66
11,49
11,64
11,62
11,60
12,45
12,4
12,51
12,57
12,63
12,69
12,44
12,48
12,33
12,24
12,20
12,13
12,100
12,75
12,68
12,66
12,65
12,46
12,32
13,39
13,38
13,37
13,36
13,35
13,31
13,33
13,32
13,44
13,29
13,28
13,34
13,45
13,57
13,48
13,51
13,53
13,58
13,59
13,62
13,64
13,68
13,69
13,72
13,92
13,100
13,23
13,46
13,20
13,24
13,7
13,91
13,87
13,81
13,80
13,70
13,66
13,63
13,55
13,26
13,52
13,50
13,49
13,42
13,41
13,40
13,25
13,54
20,58
20,57
20,55
20,53
20,51
20,50
20,46
20,48
20,59
20,44
20,43
20,42
20,49
20,61
20,64
20,63
20,38
20,67
20,68
20,69
20,70
20,72
20,74
20,75
20,90
20,92
20,93
20,95
20,100
20,62
20,37
20,47
20,35
20,0
20,23
20,40
20,45
20,56
20,36
20,76
20,83
20,97
20,98
20,99
20,66
20,41
20,34
20,33
20,32
20,31
20,29
20,28
20,24
20,25
20,26
23,69
23,65
23,62
23,26
23,24
23,36
23,44
23,45
23,50
23,57
23,64
24,85
24,69
24,63
24,62
24,56
24,54
24,53
24,52
24,50
24,32
24,34
24,33
24,100
24,28
24,26
24,25
24,92
24,96
24,86
24,49
24,94
24,75
24,43
24,57
24,58
24,67
24,45
24,68
24,41
24,38
24,11
24,0
25,11
25,12
25,43
25,65
25,57
25,71
25,77
25,100
25,32
25,4
25,67
26,33
26,27
26,34
26,28
26,35
26,55
26,41
26,44
26,45
26,46
26,53
26,54
26,56
26,69
26,58
26,59
26,66
26,36
26,70
26,57
26,85
26,86
26,83
26,12
26,25
26,29
26,30
26,32
26,42
26,43
26,74
26,47
26,61
26,63
26,64
26,72
26,76
26,67
26,100
26,92
26,91
26,50
26,68
28,58
28,49
28,51
28,53
28,56
28,57
28,41
28,46
28,34
28,64
28,31
28,62
28,59
28,67
28,69
28,85
28,97
28,99
28,33
28,66
28,61
28,70
28,63
28,68
28,23
28,29
28,38
28,42
28,43
28,44
28,47
28,48
28,0
28,92
28,100
28,60
29,25
29,37
29,38
29,39
29,40
29,44
29,45
29,51
29,59
29,61
29,62
29,67
29,100
29,24
29,30
29,32
29,33
29,34
29,35
29,36
29,57
29,68
29,9
30,8
30,32
30,33
30,41
30,66
30,35
31,37
31,100
31,36
31,70
31,68
31,63
31,62
31,51
31,46
31,9
31,26
31,29
31,32
31,35
31,59
31,58
31,92
31,91
32,85
32,65
32,66
32,71
32,44
32,42
32,39
32,38
32,37
32,36
32,33
32,56
32,11
32,52
32,46
32,47
32,48
32,51
32,57
32,62
32,68
32,69
32,100
32,45
33,92
33,91
33,76
33,75
33,69
33,71
33,70
33,93
33,74
33,95
33,41
33,100
33,38
33,39
33,68
33,44
33,45
33,46
33,53
33,51
33,50
33,49
33,98
33,67
33,60
33,65
33,34
33,35
33,36
33,37
33,47
33,23
33,25
33,27
33,31
33,43
33,66
33,54
33,63
33,81
33,90
33,97
33,55
33,57
33,58
33,59
33,62
33,64
33,61
33,48
34,85
34,38
34,86
34,83
34,75
34,74
34,64
34,63
34,61
34,45
34,32
34,31
34,25
34,23
34,2
34,71
34,36
34,66
34,67
34,68
34,57
34,56
34,53
34,50
34,46
34,44
34,42
34,41
34,62
34,100
34,59
35,93
35,90
35,81
35,80
35,74
35,69
35,45
35,39
35,64
35,59
35,54
35,12
35,36
35,51
35,66
35,67
35,41
35,38
35,46
35,57
35,62
35,68
35,44
36,24
36,28
36,42
36,43
36,52
36,53
36,54
36,55
36,58
36,60
36,63
36,68
36,80
36,81
36,82
36,85
36,86
36,93
36,56
36,100
36,76
36,37
36,69
36,67
36,66
36,64
36,9
36,59
36,57
36,51
36,62
36,47
36,50
36,39
36,40
36,38
36,44
36,45
36,46
36,41
36,11
37,75
37,6
37,12
37,24
37,45
37,48
37,52
37,42
37,38
37,39
37,41
37,44
37,59
37,66
38,3
38,84
38,81
38,77
38,75
38,47
38,61
38,52
38,90
38,40
38,63
38,95
38,12
38,62
38,39
38,41
38,42
38,43
38,100
38,76
38,66
38,26
38,57
38,53
38,45
39,81
39,41
39,45
39,47
39,9
39,55
39,54
39,52
39,46
39,59
39,62
40,32
40,37
40,39
40,44
40,46
40,100
40,59
41,67
41,56
41,52
41,3
41,42
41,32
41,31
41,74
41,1
41,44
41,85
41,90
41,66
41,91
41,50
41,51
41,53
41,54
41,57
41,58
41,62
41,63
41,86
41,70
41,92
41,100
42,45
42,56
42,55
42,85
42,95
42,62
42,53
42,4
